game_pk,hp_umpire_id,hp_umpire_name,game_total_k
632169,596805,John Libka,15
632170,429805,Todd Tichenor,22
632188,482620,Chris Conroy,17
632189,427538,Joe West,20
632190,427053,Mark Carlson,9
632191,427192,Brian Gorman,15
632192,427509,Tim Timmons,20
632193,596740,Jansen Visconti,15
632194,482631,Mike Estabrook,15
632195,504381,Will Little,25
632196,427533,Mark Wegner,12
632197,427197,Chris Guccione,26
632198,427339,Jerry Meals,19
632199,427344,Bill Miller,24
632200,427164,Andy Fletcher,21
632201,427366,Brian O'Nora,28
632202,427019,Ted Barrett,17
632203,427537,Hunter Wendelstedt,20
632204,427554,Jim Wolf,29
632205,503077,Adam Hamari,16
632206,428442,James Hoye,23
632207,483561,Lance Barrett,13
632208,427339,Jerry Meals,12
632209,427243,Marvin Hudson,21
632210,484198,Alan Porter,15
632211,547380,Carlos Torres,20
632212,427206,Tom Hallion,18
632213,503502,Ryan Blakney,16
632214,482641,Adrian Johnson,16
632215,484499,Manny Gonzalez,19
632216,573597,Gabe Morales,17
632217,427235,Sam Holbrook,21
632218,427095,Kerwin Danley,13
632219,427509,Tim Timmons,19
632220,427220,Angel Hernandez,15
632221,427362,Jeff Nelson,21
632222,484198,Alan Porter,13
632223,644760,Adam Beck,18
632224,427292,Ron Kulpa,12
632225,427184,Greg Gibson,18
632226,544728,Nic Lentz,11
632227,427299,Jerry Layne,16
632228,605674,Ryan Wills,19
632229,521889,Stu Scheurwater,18
632230,483564,Dan Bellino,20
632231,482663,David Rackley,17
632232,427168,Marty Foster,21
632233,639723,Brennan Miller,15
632234,427090,Fieldin Culbreth,26
632235,427533,Mark Wegner,15
632236,554242,Edwin Moscoso,15
632237,427248,Dan Iassogna,23
632238,427128,Rob Drake,12
632239,427220,Angel Hernandez,14
632240,596805,John Libka,20
632241,427129,Bruce Dreckman,17
632242,503077,Adam Hamari,22
632243,427520,Larry Vanover,26
632244,427093,Phil Cuzzi,26
632245,483912,Mike Muchlinski,12
632246,427315,Alfonso Márquez,22
632247,427197,Chris Guccione,16
632248,427413,Tony Randazzo,13
632249,575629,Shane Livensparger,15
632250,427362,Jeff Nelson,22
632251,598411,Nestor Ceja,15
632252,521251,Ben May,19
632253,596809,Ryan Additon,15
632254,573597,Gabe Morales,12
632255,482608,Scott Barry,11
632256,427292,Ron Kulpa,20
632257,605674,Ryan Wills,17
632258,482631,Mike Estabrook,19
632259,427013,Lance Barksdale,23
632260,427019,Ted Barrett,17
632261,428442,James Hoye,13
632262,427286,Brian Knight,17
632263,483561,Lance Barrett,19
632264,503493,Sean Barber,11
632265,623946,Malachi Moore,19
632266,427184,Greg Gibson,15
632267,427538,Joe West,15
632268,484198,Alan Porter,11
632269,503586,Tripp Gibson,11
632270,605672,Jeremie Rehak,20
632271,547380,Carlos Torres,23
632272,483564,Dan Bellino,10
632273,431232,Chad Fairchild,13
632274,427537,Hunter Wendelstedt,18
632275,545402,John Bacon,15
632276,483630,John Tumpane,25
632277,427344,Bill Miller,22
632278,594151,Ramon De Jesus,18
632279,427235,Sam Holbrook,20
632280,427243,Marvin Hudson,20
632281,427103,Gerry Davis,16
632282,521889,Stu Scheurwater,23
632283,521051,Nick Mahrley,18
632284,427220,Angel Hernandez,10
632285,489985,Chad Whitson,17
632286,577468,Roberto Ortiz,13
632287,427533,Mark Wegner,15
632288,427286,Brian Knight,15
632289,429805,Todd Tichenor,16
632290,427362,Jeff Nelson,21
632291,573769,Jeremy Riggs,18
632292,504381,Will Little,12
632293,482666,D.J. Reyburn,19
632294,484499,Manny Gonzalez,14
632295,483912,Mike Muchlinski,16
632296,573597,Gabe Morales,18
632297,503586,Tripp Gibson,16
632298,427248,Dan Iassogna,16
632299,427044,CB Bucknor,15
632300,598411,Nestor Ceja,15
632301,544728,Nic Lentz,21
632302,427013,Lance Barksdale,8
632303,427520,Larry Vanover,16
632304,427509,Tim Timmons,18
632305,427128,Rob Drake,13
632306,427090,Fieldin Culbreth,14
632307,482608,Scott Barry,16
632308,427235,Sam Holbrook,9
632309,596805,John Libka,21
632310,511890,Quinn Wolcott,14
632311,482663,David Rackley,18
632312,503077,Adam Hamari,12
632313,427197,Chris Guccione,13
632314,427129,Bruce Dreckman,13
632315,596809,Ryan Additon,13
632316,605674,Ryan Wills,21
632317,482631,Mike Estabrook,15
632318,483630,John Tumpane,19
632319,623946,Malachi Moore,12
632320,483564,Dan Bellino,20
632321,427315,Alfonso Márquez,11
632322,521251,Ben May,17
632323,427019,Ted Barrett,18
632324,427339,Jerry Meals,15
632325,427184,Greg Gibson,17
632326,623938,Erich Bacchus,17
632327,594151,Ramon De Jesus,21
632328,484183,Cory Blaser,19
632329,503490,Chris Segal,18
632330,427243,Marvin Hudson,19
632331,575629,Shane Livensparger,24
632332,427344,Bill Miller,19
632333,427220,Angel Hernandez,15
632334,605671,Charlie Ramos,20
632335,484499,Manny Gonzalez,13
632336,605672,Jeremie Rehak,19
632337,427103,Gerry Davis,13
632338,427013,Lance Barksdale,13
632339,427286,Brian Knight,19
632340,598411,Nestor Ceja,19
632341,490319,Jordan Baker,10
632342,483569,Vic Carapazza,16
632343,504381,Will Little,23
632344,484198,Alan Porter,12
632345,427538,Joe West,20
632346,427534,Bill Welke,19
632347,427206,Tom Hallion,10
632348,483564,Dan Bellino,18
632349,427554,Jim Wolf,13
632350,577468,Roberto Ortiz,17
632351,573597,Gabe Morales,16
632352,427128,Rob Drake,13
632353,489985,Chad Whitson,11
632354,427292,Ron Kulpa,23
632355,521251,Ben May,14
632356,596740,Jansen Visconti,22
632357,427248,Dan Iassogna,20
632358,596805,John Libka,19
632359,427533,Mark Wegner,10
632360,428442,James Hoye,20
632361,427093,Phil Cuzzi,10
632362,483912,Mike Muchlinski,20
632363,605673,Alex Tosi,27
632364,596809,Ryan Additon,17
632365,427053,Mark Carlson,21
632366,482641,Adrian Johnson,17
632367,547380,Carlos Torres,15
632368,605674,Ryan Wills,23
632369,482620,Chris Conroy,11
632370,427197,Chris Guccione,17
632371,427103,Gerry Davis,14
632372,482663,David Rackley,14
632373,544728,Nic Lentz,16
632374,427235,Sam Holbrook,22
632375,482608,Scott Barry,13
632376,427224,Ed Hickox,19
632377,427129,Bruce Dreckman,10
632378,484198,Alan Porter,15
632379,573597,Gabe Morales,16
632380,573596,Pat Hoberg,23
632381,605672,Jeremie Rehak,16
632382,427243,Marvin Hudson,18
632383,427184,Greg Gibson,17
632384,594151,Ramon De Jesus,16
632385,427344,Bill Miller,20
632386,427113,Laz Diaz,13
632387,521889,Stu Scheurwater,21
632388,521889,Stu Scheurwater,18
632389,483919,Mark Ripperger,19
632390,573596,Pat Hoberg,19
632391,427538,Joe West,17
632392,575629,Shane Livensparger,18
632393,483561,Lance Barrett,10
632394,427339,Jerry Meals,14
632395,489985,Chad Whitson,13
632396,577468,Roberto Ortiz,20
632397,427362,Jeff Nelson,25
632398,605673,Alex Tosi,13
632399,483569,Vic Carapazza,18
632400,503490,Chris Segal,26
632401,504381,Will Little,16
632402,483564,Dan Bellino,17
632403,521251,Ben May,20
632404,490319,Jordan Baker,25
632405,427220,Angel Hernandez,10
632406,427292,Ron Kulpa,19
632407,431232,Chad Fairchild,24
632408,644760,Adam Beck,16
632409,521051,Nick Mahrley,13
632410,427206,Tom Hallion,15
632411,482641,Adrian Johnson,17
632412,427128,Rob Drake,15
632413,427413,Tony Randazzo,16
632414,427248,Dan Iassogna,19
632415,596805,John Libka,14
632416,596740,Jansen Visconti,12
632417,427243,Marvin Hudson,18
632418,429805,Todd Tichenor,13
632419,427139,Doug Eddings,17
632420,623938,Erich Bacchus,22
632421,427224,Ed Hickox,16
632422,427113,Laz Diaz,18
632423,427013,Lance Barksdale,19
632424,598411,Nestor Ceja,14
632425,489985,Chad Whitson,25
632426,483912,Mike Muchlinski,17
632427,608093,Junior Valentine,15
632428,427554,Jim Wolf,18
632429,482663,David Rackley,13
632430,483561,Lance Barrett,14
632431,427509,Tim Timmons,15
632432,503502,Ryan Blakney,22
632433,511890,Quinn Wolcott,16
632434,427533,Mark Wegner,11
632435,482620,Chris Conroy,19
632436,483919,Mark Ripperger,16
632437,482666,D.J. Reyburn,14
632438,521051,Nick Mahrley,18
632439,427197,Chris Guccione,15
632440,427339,Jerry Meals,15
632441,427534,Bill Welke,18
632442,503586,Tripp Gibson,16
632443,484183,Cory Blaser,12
632444,428442,James Hoye,14
632445,575629,Shane Livensparger,12
632446,596809,Ryan Additon,19
632447,427044,CB Bucknor,15
632448,605673,Alex Tosi,19
632449,427235,Sam Holbrook,8
632450,427520,Larry Vanover,11
632451,427344,Bill Miller,16
632452,547380,Carlos Torres,25
632453,427315,Alfonso Márquez,23
632454,427286,Brian Knight,9
632455,427366,Brian O'Nora,18
632456,482631,Mike Estabrook,18
632458,521251,Ben May,16
632459,573597,Gabe Morales,26
632460,427220,Angel Hernandez,18
632461,482608,Scott Barry,20
632462,427554,Jim Wolf,17
632463,596805,John Libka,12
632464,428442,James Hoye,10
632465,431232,Chad Fairchild,26
632466,503490,Chris Segal,9
632467,577468,Roberto Ortiz,16
632468,598411,Nestor Ceja,11
632469,427362,Jeff Nelson,17
632470,427248,Dan Iassogna,19
632471,427413,Tony Randazzo,17
632472,482663,David Rackley,16
632473,427053,Mark Carlson,18
632474,483569,Vic Carapazza,13
632475,573769,Jeremy Riggs,13
632476,482620,Chris Conroy,23
632477,427090,Fieldin Culbreth,19
632478,427339,Jerry Meals,20
632479,644760,Adam Beck,20
632480,639723,Brennan Miller,23
632481,427537,Hunter Wendelstedt,24
632482,427243,Marvin Hudson,16
632483,605672,Jeremie Rehak,23
632484,623938,Erich Bacchus,14
632485,521051,Nick Mahrley,16
632486,482641,Adrian Johnson,16
632487,596740,Jansen Visconti,12
632488,427093,Phil Cuzzi,13
632489,427093,Phil Cuzzi,12
632490,573596,Pat Hoberg,18
632491,490319,Jordan Baker,17
632492,608093,Junior Valentine,16
632493,427113,Laz Diaz,11
632494,596809,Ryan Additon,22
632495,521889,Stu Scheurwater,18
632496,503502,Ryan Blakney,18
632497,484183,Cory Blaser,11
632498,575629,Shane Livensparger,18
632499,427139,Doug Eddings,27
632500,427509,Tim Timmons,16
632501,598411,Nestor Ceja,16
632502,427520,Larry Vanover,18
632503,427235,Sam Holbrook,14
632504,427044,CB Bucknor,21
632505,427533,Mark Wegner,16
632506,427534,Bill Welke,16
632507,511890,Quinn Wolcott,23
632508,483561,Lance Barrett,17
632509,484198,Alan Porter,14
632510,482608,Scott Barry,24
632511,489985,Chad Whitson,15
632512,427053,Mark Carlson,16
632513,577468,Roberto Ortiz,24
632514,596805,John Libka,21
632515,428442,James Hoye,16
632516,554242,Edwin Moscoso,16
632517,573769,Jeremy Riggs,19
632518,427366,Brian O'Nora,15
632519,521251,Ben May,22
632520,573597,Gabe Morales,18
632521,427224,Ed Hickox,17
632522,427013,Lance Barksdale,18
632523,544728,Nic Lentz,14
632524,427292,Ron Kulpa,15
632525,503502,Ryan Blakney,12
632526,429805,Todd Tichenor,8
632527,427184,Greg Gibson,15
632528,482641,Adrian Johnson,16
632529,427090,Fieldin Culbreth,15
632530,482620,Chris Conroy,14
632531,483564,Dan Bellino,21
632532,605670,Dan Merzel,21
632533,605672,Jeremie Rehak,21
632534,503586,Tripp Gibson,14
632535,427286,Brian Knight,13
632536,489985,Chad Whitson,20
632537,427113,Laz Diaz,19
632538,427129,Bruce Dreckman,17
632539,427224,Ed Hickox,10
632540,482631,Mike Estabrook,15
632541,504381,Will Little,19
632542,573596,Pat Hoberg,17
632543,490319,Jordan Baker,23
632544,644760,Adam Beck,21
632545,427292,Ron Kulpa,12
632546,427139,Doug Eddings,20
632547,547380,Carlos Torres,20
632548,596740,Jansen Visconti,15
632549,427366,Brian O'Nora,14
632550,596809,Ryan Additon,16
632551,427220,Angel Hernandez,22
632552,427019,Ted Barrett,20
632553,427344,Bill Miller,13
632554,427013,Lance Barksdale,16
632555,427413,Tony Randazzo,7
632556,427053,Mark Carlson,11
632557,545402,John Bacon,11
632558,605672,Jeremie Rehak,13
632559,503077,Adam Hamari,18
632560,427128,Rob Drake,16
632561,482666,D.J. Reyburn,11
632562,483569,Vic Carapazza,17
632563,427554,Jim Wolf,18
632564,427248,Dan Iassogna,18
632565,483912,Mike Muchlinski,20
632566,431232,Chad Fairchild,13
632567,554242,Edwin Moscoso,23
632568,503490,Chris Segal,16
632569,427339,Jerry Meals,15
632570,605673,Alex Tosi,20
632571,427538,Joe West,27
632572,598411,Nestor Ceja,15
632573,503490,Chris Segal,9
632574,429805,Todd Tichenor,25
632575,596805,John Libka,18
632576,503493,Sean Barber,12
632577,503502,Ryan Blakney,15
632578,573769,Jeremy Riggs,13
632579,605670,Dan Merzel,16
632580,573597,Gabe Morales,19
632581,483561,Lance Barrett,21
632582,427362,Jeff Nelson,18
632583,427220,Angel Hernandez,17
632584,483630,John Tumpane,22
632585,427184,Greg Gibson,15
632586,427090,Fieldin Culbreth,23
632587,544728,Nic Lentz,11
632588,482631,Mike Estabrook,14
632589,521051,Nick Mahrley,25
632590,427344,Bill Miller,16
632591,427366,Brian O'Nora,18
632592,427243,Marvin Hudson,16
632593,503586,Tripp Gibson,17
632594,428442,James Hoye,15
632595,521251,Ben May,14
632596,427286,Brian Knight,15
632597,483564,Dan Bellino,18
632598,573596,Pat Hoberg,17
632599,427413,Tony Randazzo,15
632600,483912,Mike Muchlinski,15
632601,427019,Ted Barrett,17
632602,644760,Adam Beck,21
632603,484499,Manny Gonzalez,22
632604,482620,Chris Conroy,10
632605,427554,Jim Wolf,10
632606,596740,Jansen Visconti,8
632607,482666,D.J. Reyburn,21
632608,427129,Bruce Dreckman,18
632609,605674,Ryan Wills,15
632610,504381,Will Little,19
632611,427534,Bill Welke,16
632612,483919,Mark Ripperger,15
632613,427206,Tom Hallion,16
632614,639723,Brennan Miller,21
632615,596809,Ryan Additon,13
632616,605670,Dan Merzel,14
632617,427113,Laz Diaz,18
632618,427248,Dan Iassogna,16
632619,482641,Adrian Johnson,15
632620,427192,Brian Gorman,12
632621,594151,Ramon De Jesus,10
632622,482631,Mike Estabrook,20
632623,605673,Alex Tosi,10
632624,484183,Cory Blaser,14
632625,427013,Lance Barksdale,14
632626,484198,Alan Porter,21
632627,427235,Sam Holbrook,16
632628,545402,John Bacon,20
632629,427090,Fieldin Culbreth,16
632630,427197,Chris Guccione,22
632631,427315,Alfonso Márquez,22
632632,573769,Jeremy Riggs,18
632633,547380,Carlos Torres,12
632634,427520,Larry Vanover,16
632635,427192,Brian Gorman,17
632636,429805,Todd Tichenor,19
632637,577468,Roberto Ortiz,17
632638,427184,Greg Gibson,14
632639,483564,Dan Bellino,21
632640,573596,Pat Hoberg,12
632641,554242,Edwin Moscoso,13
632642,596805,John Libka,26
632643,482608,Scott Barry,12
632644,427224,Ed Hickox,13
632645,503077,Adam Hamari,18
632646,427093,Phil Cuzzi,31
632647,427538,Joe West,9
632648,596740,Jansen Visconti,18
632649,482608,Scott Barry,20
632650,483561,Lance Barrett,20
632651,427292,Ron Kulpa,15
632652,427509,Tim Timmons,19
632653,644760,Adam Beck,19
632654,605672,Jeremie Rehak,22
632655,608093,Junior Valentine,23
632656,484499,Manny Gonzalez,23
632657,596809,Ryan Additon,14
632658,490319,Jordan Baker,10
632659,427220,Angel Hernandez,19
632660,483630,John Tumpane,20
632661,427019,Ted Barrett,23
632662,482641,Adrian Johnson,20
632663,427362,Jeff Nelson,20
632664,594151,Ramon De Jesus,18
632665,427224,Ed Hickox,20
632666,503493,Sean Barber,20
632667,427128,Rob Drake,14
632668,521251,Ben May,15
632669,484198,Alan Porter,12
632670,545402,John Bacon,21
632671,427366,Brian O'Nora,12
632672,427413,Tony Randazzo,22
632673,547380,Carlos Torres,12
632674,482631,Mike Estabrook,18
632675,427554,Jim Wolf,18
632676,427013,Lance Barksdale,16
632677,427248,Dan Iassogna,13
632678,504381,Will Little,10
632679,427315,Alfonso Márquez,11
632680,427103,Gerry Davis,17
632681,598411,Nestor Ceja,13
632682,605673,Alex Tosi,24
632683,482666,D.J. Reyburn,14
632684,554242,Edwin Moscoso,18
632685,596809,Ryan Additon,19
632686,503493,Sean Barber,15
632687,521889,Stu Scheurwater,18
632688,427243,Marvin Hudson,13
632689,427129,Bruce Dreckman,15
632690,483912,Mike Muchlinski,22
632691,482608,Scott Barry,13
632692,483919,Mark Ripperger,18
632693,596805,John Libka,13
632694,427538,Joe West,18
632695,483569,Vic Carapazza,8
632696,427044,CB Bucknor,14
632697,483569,Vic Carapazza,14
632698,482620,Chris Conroy,19
632699,483630,John Tumpane,13
632700,598411,Nestor Ceja,11
632701,503490,Chris Segal,10
632702,431232,Chad Fairchild,12
632703,429805,Todd Tichenor,15
632704,544728,Nic Lentz,20
632705,483630,John Tumpane,22
632706,427413,Tony Randazzo,13
632707,608093,Junior Valentine,14
632708,521889,Stu Scheurwater,20
632709,484183,Cory Blaser,11
632710,427520,Larry Vanover,13
632711,427128,Rob Drake,17
632712,483561,Lance Barrett,13
632713,484499,Manny Gonzalez,14
632714,427235,Sam Holbrook,17
632715,427534,Bill Welke,16
632716,573769,Jeremy Riggs,12
632717,427113,Laz Diaz,18
632718,482663,David Rackley,14
632719,644760,Adam Beck,20
632720,427344,Bill Miller,10
632721,427139,Doug Eddings,15
632722,427520,Larry Vanover,13
632723,427534,Bill Welke,13
632724,490319,Jordan Baker,15
632725,504381,Will Little,22
632726,483630,John Tumpane,18
632727,483564,Dan Bellino,15
632728,431232,Chad Fairchild,16
632729,521251,Ben May,12
632730,427362,Jeff Nelson,21
632731,484183,Cory Blaser,12
632732,428442,James Hoye,10
632733,427053,Mark Carlson,16
632734,577468,Roberto Ortiz,20
632735,521051,Nick Mahrley,13
632736,573597,Gabe Morales,18
632737,427292,Ron Kulpa,21
632738,484499,Manny Gonzalez,17
632739,482631,Mike Estabrook,18
632740,427554,Jim Wolf,21
632741,427197,Chris Guccione,17
632742,503502,Ryan Blakney,13
632743,427366,Brian O'Nora,17
632744,484198,Alan Porter,13
632745,482641,Adrian Johnson,15
632746,427509,Tim Timmons,17
632747,573769,Jeremy Riggs,10
632748,483569,Vic Carapazza,18
632749,429805,Todd Tichenor,21
632750,427093,Phil Cuzzi,18
632751,547380,Carlos Torres,22
632752,503490,Chris Segal,26
632753,427362,Jeff Nelson,24
632754,427538,Joe West,16
632755,427206,Tom Hallion,18
632756,554242,Edwin Moscoso,17
632757,427090,Fieldin Culbreth,20
632758,483561,Lance Barrett,15
632759,427192,Brian Gorman,18
632760,544728,Nic Lentz,13
632761,427044,CB Bucknor,25
632762,489985,Chad Whitson,14
632763,482620,Chris Conroy,25
632764,427224,Ed Hickox,34
632765,503493,Sean Barber,23
632766,427139,Doug Eddings,15
632767,483919,Mark Ripperger,20
632768,598411,Nestor Ceja,18
632769,483912,Mike Muchlinski,15
632770,429805,Todd Tichenor,13
632771,596740,Jansen Visconti,20
632772,644760,Adam Beck,20
632773,605672,Jeremie Rehak,20
632774,503077,Adam Hamari,21
632775,544728,Nic Lentz,13
632776,427424,Jim Reynolds,18
632777,503493,Sean Barber,20
632778,427113,Laz Diaz,17
632779,427053,Mark Carlson,20
632780,594151,Ramon De Jesus,16
632781,427235,Sam Holbrook,13
632782,427339,Jerry Meals,15
632783,427344,Bill Miller,13
632784,521051,Nick Mahrley,11
632785,427128,Rob Drake,18
632786,490319,Jordan Baker,19
632787,428442,James Hoye,16
632788,573597,Gabe Morales,19
632789,427292,Ron Kulpa,24
632790,427366,Brian O'Nora,23
632791,484183,Cory Blaser,23
632792,427362,Jeff Nelson,16
632793,427192,Brian Gorman,23
632794,427129,Bruce Dreckman,14
632795,427243,Marvin Hudson,16
632796,482663,David Rackley,16
632797,427554,Jim Wolf,9
632798,503586,Tripp Gibson,20
632799,427019,Ted Barrett,17
632800,503586,Tripp Gibson,28
632801,608093,Junior Valentine,21
632802,427184,Greg Gibson,16
632803,503502,Ryan Blakney,22
632804,427103,Gerry Davis,12
632805,427534,Bill Welke,21
632806,573597,Gabe Morales,25
632807,427090,Fieldin Culbreth,26
632808,427315,Alfonso Márquez,22
632809,483919,Mark Ripperger,16
632810,577468,Roberto Ortiz,19
632811,598411,Nestor Ceja,20
632812,483564,Dan Bellino,16
632813,503077,Adam Hamari,8
632814,503586,Tripp Gibson,8
632815,427044,CB Bucknor,18
632816,483912,Mike Muchlinski,16
632817,427139,Doug Eddings,24
632818,596809,Ryan Additon,19
632819,482666,D.J. Reyburn,21
632820,427013,Lance Barksdale,11
632821,427220,Angel Hernandez,17
632822,596805,John Libka,24
632823,427129,Bruce Dreckman,11
632824,427339,Jerry Meals,19
632825,427220,Angel Hernandez,9
632826,547380,Carlos Torres,20
632827,596805,John Libka,16
632828,554242,Edwin Moscoso,10
632829,503490,Chris Segal,18
632830,545402,John Bacon,11
632831,427235,Sam Holbrook,12
632832,483630,John Tumpane,17
632833,428442,James Hoye,24
632834,482641,Adrian Johnson,15
632835,427520,Larry Vanover,14
632836,607884,Paul Clemons,30
