abbreviation,season,park_factor_runs
COL,2020,112
COL,2021,112
COL,2022,112
COL,2023,112
COL,2024,112
COL,2025,112
CIN,2020,106
CIN,2021,106
CIN,2022,106
CIN,2023,106
CIN,2024,106
CIN,2025,106
BOS,2020,105
BOS,2021,105
BOS,2022,105
BOS,2023,105
BOS,2024,105
BOS,2025,105
TEX,2020,104
TEX,2021,104
TEX,2022,104
TEX,2023,104
TEX,2024,104
TEX,2025,104
PHI,2020,103
PHI,2021,103
PHI,2022,103
PHI,2023,103
PHI,2024,103
PHI,2025,103
BAL,2020,103
BAL,2021,103
BAL,2022,103
BAL,2023,103
BAL,2024,103
BAL,2025,103
MIL,2020,102
MIL,2021,102
MIL,2022,102
MIL,2023,102
MIL,2024,102
MIL,2025,102
AZ,2020,102
AZ,2021,102
AZ,2022,102
AZ,2023,102
AZ,2024,102
AZ,2025,102
TOR,2020,101
TOR,2021,101
TOR,2022,101
TOR,2023,101
TOR,2024,101
TOR,2025,101
CHC,2020,101
CHC,2021,101
CHC,2022,101
CHC,2023,101
CHC,2024,101
CHC,2025,101
MIN,2020,100
MIN,2021,100
MIN,2022,100
MIN,2023,100
MIN,2024,100
MIN,2025,100
LAA,2020,100
LAA,2021,100
LAA,2022,100
LAA,2023,100
LAA,2024,100
LAA,2025,100
HOU,2020,100
HOU,2021,100
HOU,2022,100
HOU,2023,100
HOU,2024,100
HOU,2025,100
STL,2020,100
STL,2021,100
STL,2022,100
STL,2023,100
STL,2024,100
STL,2025,100
WSH,2020,99
WSH,2021,99
WSH,2022,99
WSH,2023,99
WSH,2024,99
WSH,2025,99
ATL,2020,99
ATL,2021,99
ATL,2022,99
ATL,2023,99
ATL,2024,99
ATL,2025,99
SD,2020,99
SD,2021,99
SD,2022,99
SD,2023,99
SD,2024,99
SD,2025,99
CWS,2020,99
CWS,2021,99
CWS,2022,99
CWS,2023,99
CWS,2024,99
CWS,2025,99
CLE,2020,98
CLE,2021,98
CLE,2022,98
CLE,2023,98
CLE,2024,98
CLE,2025,98
KC,2020,98
KC,2021,98
KC,2022,98
KC,2023,98
KC,2024,98
KC,2025,98
TB,2020,97
TB,2021,97
TB,2022,97
TB,2023,97
TB,2024,97
TB,2025,97
LAD,2020,97
LAD,2021,97
LAD,2022,97
LAD,2023,97
LAD,2024,97
LAD,2025,97
NYY,2020,97
NYY,2021,97
NYY,2022,97
NYY,2023,97
NYY,2024,97
NYY,2025,97
SF,2020,96
SF,2021,96
SF,2022,96
SF,2023,96
SF,2024,96
SF,2025,96
DET,2020,96
DET,2021,96
DET,2022,96
DET,2023,96
DET,2024,96
DET,2025,96
PIT,2020,96
PIT,2021,96
PIT,2022,96
PIT,2023,96
PIT,2024,96
PIT,2025,96
NYM,2020,95
NYM,2021,95
NYM,2022,95
NYM,2023,95
NYM,2024,95
NYM,2025,95
SEA,2020,94
SEA,2021,94
SEA,2022,94
SEA,2023,94
SEA,2024,94
SEA,2025,94
OAK,2020,94
OAK,2021,94
OAK,2022,94
OAK,2023,94
OAK,2024,94
OAK,2025,94
MIA,2020,92
MIA,2021,92
MIA,2022,92
MIA,2023,92
MIA,2024,92
MIA,2025,92
ATH,2020,108
ATH,2021,108
ATH,2022,108
ATH,2023,108
ATH,2024,108
ATH,2025,108
