mlbID,throws
405395,R
424144,L
425794,R
425844,R
425877,R
429722,R
430935,L
431148,L
433589,R
434378,R
434671,R
435522,R
444468,R
444482,L
444876,R
445213,R
445276,R
445926,R
446099,R
446321,L
446372,R
448179,L
448281,L
448855,R
450172,R
450203,R
451584,R
452027,L
452657,L
452678,R
453172,R
453178,R
453192,L
453265,L
453268,R
453281,L
453284,R
453286,R
453343,R
453562,R
453943,R
455117,R
455119,R
456034,L
456124,R
456501,R
456701,R
456713,R
457759,R
457915,R
457918,L
458676,R
458677,L
458681,R
458708,R
459429,L
460077,R
461325,R
461829,L
461865,R
461872,R
465657,R
467008,R
467100,R
468504,R
471911,R
472551,L
472610,R
474463,L
475054,R
475479,R
476454,R
476594,R
476595,L
477132,L
488748,L
488984,R
489119,L
489265,R
489334,R
489446,R
491624,R
491703,R
493603,R
500610,R
500743,R
500779,L
500871,R
501303,R
501381,R
501593,L
501625,L
501789,R
501925,R
501985,L
502026,R
502042,R
502043,R
502083,R
502085,R
502154,L
502171,R
502179,R
502188,R
502202,R
502210,R
502239,R
502273,R
502327,L
502522,R
502578,R
502593,R
502624,R
502706,L
502748,R
503285,R
503449,R
503556,R
503569,R
504379,R
505447,R
506433,R
506702,R
516969,R
517008,R
518397,L
518435,R
518489,R
518516,L
518553,R
518585,R
518586,R
518617,L
518626,R
518633,L
518649,R
518693,L
518715,R
518748,R
518774,R
518813,R
518858,R
518876,R
518886,R
519008,L
519043,L
519048,L
519076,R
519141,L
519144,R
519151,R
519203,L
519242,L
519293,L
519299,R
519326,R
519381,S
519393,R
519443,R
519455,R
520980,R
521230,R
521655,R
523253,R
523260,R
527048,L
527054,R
527055,R
528748,R
532077,R
533167,R
534812,R
534910,R
541640,R
541650,R
542194,R
542208,R
542585,R
542881,L
542882,R
542888,R
542914,R
542932,R
542947,L
542960,R
542992,R
543022,R
543037,R
543045,L
543056,L
543063,R
543101,R
543118,R
543135,R
543208,R
543219,L
543238,L
543243,R
543258,R
543272,L
543278,L
543281,R
543294,R
543305,R
543339,R
543351,R
543391,R
543456,L
543475,R
543483,R
543507,R
543510,R
543518,R
543521,R
543543,R
543548,L
543557,L
543592,R
543594,L
543606,R
543699,R
543734,L
543766,R
543829,R
543859,R
543867,L
543883,R
543901,R
544150,R
544365,L
544727,R
544928,L
544931,R
545064,R
545121,R
