game_pk,season,official_date,home_team_id,home_team_name,away_team_id,away_team_name,home_score,away_score,home_probable_pitcher_id,away_probable_pitcher_id,venue_id,venue_name,day_night,doubleheader
823244,2026,2026-03-25,137,San Francisco Giants,147,New York Yankees,0,7,657277.0,608331.0,2395,Oracle Park,night,N
823649,2026,2026-03-26,121,New York Mets,134,Pittsburgh Pirates,11,7,642547.0,694973.0,3289,Citi Field,day,N
823812,2026,2026-03-26,158,Milwaukee Brewers,145,Chicago White Sox,14,2,694819.0,681343.0,32,American Family Field,day,N
824704,2026,2026-03-26,112,Chicago Cubs,120,Washington Nationals,4,10,571510.0,676917.0,17,Wrigley Field,day,N
824865,2026,2026-03-26,110,Baltimore Orioles,142,Minnesota Twins,2,1,669432.0,657746.0,2,Oriole Park at Camden Yards,day,N
824541,2026,2026-03-26,113,Cincinnati Reds,111,Boston Red Sox,0,3,671096.0,676979.0,2602,Great American Ball Park,day,N
824218,2026,2026-03-26,117,Houston Astros,108,Los Angeles Angels,0,3,686613.0,667755.0,2392,Daikin Park,day,N
823325,2026,2026-03-26,135,San Diego Padres,116,Detroit Tigers,2,8,601713.0,669373.0,2680,Petco Park,day,N
823081,2026,2026-03-26,138,St. Louis Cardinals,139,Tampa Bay Rays,9,7,669461.0,656876.0,2889,Busch Stadium,day,N
823486,2026,2026-03-26,143,Philadelphia Phillies,140,Texas Rangers,5,3,650911.0,543135.0,2681,Citizens Bank Park,day,N
823974,2026,2026-03-26,119,Los Angeles Dodgers,109,Arizona Diamondbacks,8,2,808967.0,668678.0,22,UNIQLO Field at Dodger Stadium,night,N
823163,2026,2026-03-26,136,Seattle Mariners,114,Cleveland Guardians,4,6,669302.0,676440.0,680,T-Mobile Park,night,N
823243,2026,2026-03-27,137,San Francisco Giants,147,New York Yankees,0,3,592662.0,693645.0,2395,Oracle Park,day,N
822839,2026,2026-03-27,141,Toronto Blue Jays,133,Athletics,3,2,592332.0,622663.0,14,Rogers Centre,night,N
823893,2026,2026-03-27,146,Miami Marlins,115,Colorado Rockies,2,1,645261.0,607536.0,4169,loanDepot park,night,N
824946,2026,2026-03-27,144,Atlanta Braves,118,Kansas City Royals,6,0,519242.0,666142.0,4705,Truist Park,night,N
824216,2026,2026-03-27,117,Houston Astros,108,Los Angeles Angels,2,6,681347.0,579328.0,2392,Daikin Park,night,N
823324,2026,2026-03-27,135,San Diego Padres,116,Detroit Tigers,2,5,650633.0,664285.0,2680,Petco Park,night,N
823162,2026,2026-03-27,136,Seattle Mariners,114,Cleveland Guardians,5,1,669923.0,668909.0,680,T-Mobile Park,night,N
823971,2026,2026-03-27,119,Los Angeles Dodgers,109,Arizona Diamondbacks,5,4,686218.0,669194.0,22,UNIQLO Field at Dodger Stadium,night,N
823082,2026,2026-03-28,138,St. Louis Cardinals,139,Tampa Bay Rays,6,5,700241.0,671212.0,2889,Busch Stadium,day,N
824701,2026,2026-03-28,112,Chicago Cubs,120,Washington Nationals,10,2,690990.0,571945.0,17,Wrigley Field,day,N
822838,2026,2026-03-28,141,Toronto Blue Jays,133,Athletics,8,7,656302.0,605488.0,14,Rogers Centre,day,N
824862,2026,2026-03-28,110,Baltimore Orioles,142,Minnesota Twins,1,4,680694.0,671737.0,2,Oriole Park at Camden Yards,day,N
823488,2026,2026-03-28,143,Philadelphia Phillies,140,Texas Rangers,4,5,605400.0,656641.0,2681,Citizens Bank Park,day,N
824540,2026,2026-03-28,113,Cincinnati Reds,111,Boston Red Sox,6,5,663903.0,543243.0,2602,Great American Ball Park,day,N
823651,2026,2026-03-28,121,New York Mets,134,Pittsburgh Pirates,4,2,656849.0,656605.0,3289,Citi Field,day,N
823892,2026,2026-03-28,146,Miami Marlins,115,Colorado Rockies,4,3,691587.0,547179.0,4169,loanDepot park,day,N
824213,2026,2026-03-28,117,Houston Astros,108,Los Angeles Angels,11,9,664299.0,672282.0,2392,Daikin Park,night,N
823811,2026,2026-03-28,158,Milwaukee Brewers,145,Chicago White Sox,6,1,694477.0,680732.0,32,American Family Field,night,N
824945,2026,2026-03-28,144,Atlanta Braves,118,Kansas City Royals,6,2,625643.0,608379.0,4705,Truist Park,night,N
823241,2026,2026-03-28,137,San Francisco Giants,147,New York Yankees,1,3,641816.0,701542.0,2395,Oracle Park,day,N
823323,2026,2026-03-28,135,San Diego Padres,116,Detroit Tigers,3,0,681190.0,656427.0,2680,Petco Park,night,N
823973,2026,2026-03-28,119,Los Angeles Dodgers,109,Arizona Diamondbacks,3,2,607192.0,593958.0,22,UNIQLO Field at Dodger Stadium,night,N
823161,2026,2026-03-28,136,Seattle Mariners,114,Cleveland Guardians,5,6,693433.0,676282.0,680,T-Mobile Park,night,N
824864,2026,2026-03-29,110,Baltimore Orioles,142,Minnesota Twins,8,6,669358.0,641927.0,2,Oriole Park at Camden Yards,day,N
823487,2026,2026-03-29,143,Philadelphia Phillies,140,Texas Rangers,3,8,666200.0,669022.0,2681,Citizens Bank Park,day,N
824944,2026,2026-03-29,144,Atlanta Braves,118,Kansas City Royals,1,4,656550.0,607625.0,4705,Truist Park,day,N
822837,2026,2026-03-29,141,Toronto Blue Jays,133,Athletics,5,2,641778.0,806960.0,14,Rogers Centre,day,N
824538,2026,2026-03-29,113,Cincinnati Reds,111,Boston Red Sox,3,2,695076.0,813349.0,2602,Great American Ball Park,day,N
823647,2026,2026-03-29,121,New York Mets,134,Pittsburgh Pirates,3,4,690997.0,669387.0,3289,Citi Field,day,N
823891,2026,2026-03-29,146,Miami Marlins,115,Colorado Rockies,4,3,676974.0,500779.0,4169,loanDepot park,day,N
824215,2026,2026-03-29,117,Houston Astros,108,Los Angeles Angels,9,7,837227.0,686799.0,2392,Daikin Park,day,N
823810,2026,2026-03-29,158,Milwaukee Brewers,145,Chicago White Sox,9,7,687075.0,641743.0,32,American Family Field,day,N
823079,2026,2026-03-29,138,St. Louis Cardinals,139,Tampa Bay Rays,7,11,669160.0,571927.0,2889,Busch Stadium,day,N
824700,2026,2026-03-29,112,Chicago Cubs,120,Washington Nationals,3,6,684007.0,663623.0,17,Wrigley Field,day,N
823160,2026,2026-03-29,136,Seattle Mariners,114,Cleveland Guardians,8,0,676106.0,677944.0,680,T-Mobile Park,day,N
824135,2026,2026-03-30,118,Kansas City Royals,142,Minnesota Twins,3,1,663460.0,680573.0,7,Kauffman Stadium,day,N
824863,2026,2026-03-30,110,Baltimore Orioles,140,Texas Rangers,2,5,605135.0,683004.0,2,Oriole Park at Camden Yards,night,N
