game_id,official_date,home_team_id,home_team_name,away_team_id,away_team_name,home_score,away_score,completed,season
401620178,2024-05-14,16,Washington Mystics,9,New York Liberty,80,85,True,2024
401620219,2024-05-14,18,Connecticut Sun,5,Indiana Fever,92,71,True,2024
401620220,2024-05-15,17,Las Vegas Aces,11,Phoenix Mercury,89,80,True,2024
401620221,2024-05-15,14,Seattle Storm,8,Minnesota Lynx,70,83,True,2024
401620222,2024-05-16,3,Dallas Wings,19,Chicago Sky,87,79,True,2024
401620223,2024-05-16,6,Los Angeles Sparks,20,Atlanta Dream,81,92,True,2024
401620224,2024-05-16,5,Indiana Fever,9,New York Liberty,66,102,True,2024
401620225,2024-05-17,18,Connecticut Sun,16,Washington Mystics,84,77,True,2024
401620226,2024-05-18,8,Minnesota Lynx,14,Seattle Storm,102,93,True,2024
401620227,2024-05-18,9,New York Liberty,5,Indiana Fever,91,80,True,2024
401620228,2024-05-18,17,Las Vegas Aces,6,Los Angeles Sparks,89,82,True,2024
401620229,2024-05-19,3,Dallas Wings,19,Chicago Sky,74,83,True,2024
401620230,2024-05-19,11,Phoenix Mercury,20,Atlanta Dream,88,85,True,2024
401620231,2024-05-19,16,Washington Mystics,14,Seattle Storm,75,84,True,2024
401620232,2024-05-20,5,Indiana Fever,18,Connecticut Sun,84,88,True,2024
401620233,2024-05-20,9,New York Liberty,14,Seattle Storm,74,63,True,2024
401620234,2024-05-21,20,Atlanta Dream,3,Dallas Wings,83,78,True,2024
401620235,2024-05-22,17,Las Vegas Aces,11,Phoenix Mercury,88,98,True,2024
401620236,2024-05-22,6,Los Angeles Sparks,16,Washington Mystics,70,68,True,2024
401620237,2024-05-23,14,Seattle Storm,5,Indiana Fever,85,83,True,2024
401620238,2024-05-23,18,Connecticut Sun,8,Minnesota Lynx,83,82,True,2024
401620239,2024-05-23,9,New York Liberty,19,Chicago Sky,81,90,True,2024
401620240,2024-05-24,11,Phoenix Mercury,16,Washington Mystics,83,80,True,2024
401620241,2024-05-25,6,Los Angeles Sparks,5,Indiana Fever,73,78,True,2024
401620242,2024-05-25,8,Minnesota Lynx,9,New York Liberty,84,67,True,2024
401620243,2024-05-26,19,Chicago Sky,18,Connecticut Sun,82,86,True,2024
401620244,2024-05-26,17,Las Vegas Aces,5,Indiana Fever,99,80,True,2024
