game_pk,home_team_name,away_team_name,market,market_type,side,line,model_prob,pm_price,pm_implied_prob,edge,depth_usd,sportsbook_prob,n_books
824589,Chicago White Sox,Atlanta Braves,polymarket,moneyline,home,,0.4457751164337991,0.51,0.51,-0.06422488356620093,22204.4718,0.4959461844151658,9
824589,Chicago White Sox,Atlanta Braves,polymarket,moneyline,away,,0.5542248835662009,0.51,0.51,0.04422488356620091,19554.4914,0.5040538155848342,9
824474,Cincinnati Reds,St. Louis Cardinals,polymarket,moneyline,home,,0.5441176470588234,0.51,0.51,0.034117647058823364,48709.6869,0.49086647963611874,9
824474,Cincinnati Reds,St. Louis Cardinals,polymarket,moneyline,away,,0.4558823529411766,0.51,0.51,-0.05411764705882338,21208.5438,0.5091335203638813,9
824395,Cleveland Guardians,San Francisco Giants,polymarket,moneyline,home,,0.5441176470588234,0.35,0.35,0.1941176470588234,0.0,0.6431033033933313,9
824395,Cleveland Guardians,San Francisco Giants,polymarket,moneyline,away,,0.4558823529411766,0.35,0.35,0.10588235294117665,58237.67949999999,0.3568966966066687,9
822934,Tampa Bay Rays,Toronto Blue Jays,polymarket,moneyline,home,,0.6183385579937304,0.4,0.4,0.21833855799373036,0.0,0.6033409505029783,9
822934,Tampa Bay Rays,Toronto Blue Jays,polymarket,moneyline,away,,0.3816614420062696,0.4,0.4,-0.01833855799373041,52563.9229,0.3966590494970217,9
824074,Kansas City Royals,Athletics,polymarket,moneyline,home,,0.459727385377943,0.44,0.44,0.019727385377942996,0.0,0.5616067972645842,9
824074,Kansas City Royals,Athletics,polymarket,moneyline,away,,0.540272614622057,0.44,0.44,0.100272614622057,1211.2364,0.4383932027354158,9
823747,Milwaukee Brewers,Seattle Mariners,polymarket,moneyline,home,,0.6183385579937304,0.45,0.45,0.16833855799373038,0.0,0.5473882369010589,9
823747,Milwaukee Brewers,Seattle Mariners,polymarket,moneyline,away,,0.3816614420062696,0.45,0.45,-0.0683385579937304,16301.313,0.45261176309894113,9
824802,Baltimore Orioles,New York Yankees,polymarket,moneyline,home,,0.459727385377943,0.54,0.54,-0.08027261462205704,54.0,0.4649180535297328,9
824802,Baltimore Orioles,New York Yankees,polymarket,moneyline,away,,0.540272614622057,0.54,0.54,0.00027261462205696585,106010.17020000001,0.5350819464702672,9
822861,Texas Rangers,Washington Nationals,polymarket,moneyline,home,,0.5826086956521739,0.4,0.4,0.18260869565217386,0.0,0.6034089619336598,9
822861,Texas Rangers,Washington Nationals,polymarket,moneyline,away,,0.4173913043478261,0.4,0.4,0.017391304347826098,68295.5143,0.3965910380663402,9
824153,Houston Astros,Los Angeles Angels,polymarket,moneyline,home,,0.5441176470588234,0.38,0.38,0.16411764705882337,0.0,0.6264248694255684,9
824153,Houston Astros,Los Angeles Angels,polymarket,moneyline,away,,0.4558823529411766,0.38,0.38,0.07588235294117662,10522.3824,0.3735751305744316,9
824589,Chicago White Sox,Atlanta Braves,polymarket,totals,over,8.5,,0.52,0.52,,235.66400000000002,,9
824589,Chicago White Sox,Atlanta Braves,polymarket,totals,under,8.5,,0.52,0.52,,16923.441600000002,,9
